recipe_id,cuisine_id
48920,33
48930,36
48928,41
48954,33
48956,41
48944,41
48936,29
48934,35
48946,41
48958,29
48948,48
48942,41
48938,41
48952,41
48960,41
48940,41
48962,41
48968,41
48966,41
48980,41
48970,41
48982,41
48964,38
48964,29
48976,41
48984,41
48978,41
48986,41
49002,35
48992,41
49004,41
48974,41
48974,26
49006,41
48996,41
49012,41
49000,23
49000,14
48990,41
48972,41
49016,41
49008,36
49010,33
49020,41
49022,41
49032,41
49048,41
49026,41
49026,35
49024,41
49038,41
49040,33
49066,41
49042,41
49036,41
49058,41
49054,41
49060,41
49052,41
49046,48
49072,41
49064,41
49070,41
49068,41
49076,41
49078,29
52847,41
49084,41
49090,41
49086,41
49082,41
49074,41
49108,41
49088,41
49106,41
49098,41
49114,41
49104,41
57454,41
49094,41
49110,41
56786,41
49120,41
49132,41
49118,41
49118,33
49122,41
49124,41
85549,41
49126,41
49142,29
49144,33
49136,41
49128,41
49128,29
49134,41
49148,41
49146,41
49150,41
49140,41
49152,41
49160,41
49154,41
49162,41
49168,41
49156,41
49164,41
49172,41
49166,41
49176,41
49200,41
49178,33
49198,41
49196,41
49202,23
49202,14
49204,43
49192,41
49182,41
49184,41
49186,41
49208,41
49214,41
49216,41
49222,41
49234,29
49240,45
49232,29
49246,29
49218,29
49220,33
49248,33
49224,41
49258,41
49244,41
49256,41
49250,33
49252,48
49260,33
49262,41
49268,41
49266,41
49274,41
49278,41
49280,41
49270,41
49272,41
49276,41
49264,36
49264,23
49286,41
49288,41
49292,41
49284,41
49302,22
49296,41
49294,41
49306,41
49304,23
49304,14
49298,41
49314,41
